keyword,cate,num
轿车,轿车,1106010103
固定电话,固定电话机,1106020101
手机,移动电话机,1106020102
电视,电视机,1107010001
摄像机,摄像机,1107010003
照相机,照相机,1107010004
家用音响,家用音响,1107010005
便携式音响,便携式音响,1107010006
台式电脑,电脑,1107010007
笔记本电脑,电脑,1107010007
工具书,工具书,1107020101
教材,教材,1107020102
参考书,参考书,1107020103
教育软件,教育软件,1107020104
笛子,乐器,1107030101
尤克里里,乐器,1107030101
口琴,乐器,1107030101 
小提琴,乐器,1107030101 
电子琴,乐器,1107030101
吉他,乐器,1107030101 
钢琴,乐器,1107030101
鼓,乐器,1107030101 
古筝,乐器,1107030101 
光盘,音响光盘和磁带,1107030102
磁带,音响光盘和磁带,1107030102
胶卷,照相胶卷和存储卡,1107030103
储存卡,照相胶卷和存储卡,1107030103
玩具,儿童玩具,1107030105
纸张本册,纸张本册,1107030106
笔,文具,1107030107
本子,文具,1107030107
篮球,体育用品,1107030108
足球,体育用品,1107030108
排球,体育用品,1107030108
羽毛球,体育用品,1107030108
乒乓球,体育用品,1107030108
象棋,体育用品,1107030108
国际象棋,体育用品,1107030108
围棋,体育用品,1107030108
军棋,体育用品,1107030108
跳棋,体育用品,1107030108
扑克牌,体育用品,1107030108
麻将,体育用品,1107030108
书,书籍,1107030201
报纸,报纸,1107030202
杂志,杂志,1107030203
碳化木,木材,1108010001
木龙骨,木材,1108010001
原木木方,木材,1108010001
防腐木,木材,1108010001
强化复合地板,木地板,1108010002
实木地板,木地板,1108010002
实木复合地板,木地板,1108010002
软木地板,木地板,1108010002
釉面砖,砖,1108010003
文化石,砖,1108010003
仿古砖,砖,1108010003
玻化砖,砖,1108010003
马赛克 砖,砖,1108010003
瓷砖装饰附件,砖,1108010003
抛晶砖,砖,1108010003
白水泥,水泥,1108010004
黑水泥,水泥,1108010004
内墙乳胶漆,涂料,1108010005
内墙白色哑光乳胶漆,涂料,1108010005
硅藻泥,涂料,1108010005
外墙乳胶漆,涂料,1108010005 
艺术涂料,涂料,1108010005 
防水涂料,涂料,1108010005 
特种涂料,涂料,1108010005
艺术玻璃,玻璃,1108010007
玻璃砖,玻璃,1108010007
